department,code,OCC_TITLE,OCC_GROUP
11,1011,Chief Executives,detailed
11,1021,General and Operations Managers,detailed
11,1031,Legislators,detailed
11,2011,Advertising and Promotions Managers,detailed
11,2021,Marketing Managers,detailed
11,2022,Sales Managers,detailed
11,2031,Public Relations and Fundraising Managers,detailed
11,3011,Administrative Services Managers,detailed
11,3021,Computer and Information Systems Managers,detailed
11,3031,Financial Managers,detailed
11,3051,Industrial Production Managers,detailed
11,3061,Purchasing Managers,detailed
11,3071,"Transportation, Storage, and Distribution Managers",detailed
11,3111,Compensation and Benefits Managers,detailed
11,3121,Human Resources Managers,detailed
11,3131,Training and Development Managers,detailed
11,9021,Construction Managers,detailed
11,9031,"Education Administrators, Preschool and Childcare Center/Program",detailed
11,9032,"Education Administrators, Elementary and Secondary School",detailed
11,9033,"Education Administrators, Postsecondary",detailed
11,9039,"Education Administrators, All Other",detailed
11,9041,Architectural and Engineering Managers,detailed
11,9051,Food Service Managers,detailed
11,9061,Funeral Service Managers,detailed
11,9081,Lodging Managers,detailed
11,9111,Medical and Health Services Managers,detailed
11,9121,Natural Sciences Managers,detailed
11,9131,Postmasters and Mail Superintendents,detailed
11,9141,"Property, Real Estate, and Community Association Managers",detailed
11,9151,Social and Community Service Managers,detailed
11,9161,Emergency Management Directors,detailed
11,9199,"Managers, All Other",detailed
13,1021,"Buyers and Purchasing Agents, Farm Products",detailed
13,1022,"Wholesale and Retail Buyers, Except Farm Products",detailed
13,1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed
13,1031,"Claims Adjusters, Examiners, and Investigators",detailed
13,1032,"Insurance Appraisers, Auto Damage",detailed
13,1041,Compliance Officers,detailed
13,1051,Cost Estimators,detailed
13,1071,Human Resources Specialists,detailed
13,1075,Labor Relations Specialists,detailed
13,1081,Logisticians,detailed
13,1111,Management Analysts,detailed
13,1121,"Meeting, Convention, and Event Planners",detailed
13,1131,Fundraisers,detailed
13,1141,"Compensation, Benefits, and Job Analysis Specialists",detailed
13,1151,Training and Development Specialists,detailed
13,1161,Market Research Analysts and Marketing Specialists,detailed
13,1199,"Business Operations Specialists, All Other",detailed
13,2011,Accountants and Auditors,detailed
13,2021,Appraisers and Assessors of Real Estate,detailed
13,2031,Budget Analysts,detailed
13,2041,Credit Analysts,detailed
13,2051,Financial Analysts,detailed
13,2052,Personal Financial Advisors,detailed
13,2053,Insurance Underwriters,detailed
13,2061,Financial Examiners,detailed
13,2071,Credit Counselors,detailed
13,2072,Loan Officers,detailed
13,2081,"Tax Examiners and Collectors, and Revenue Agents",detailed
13,2082,Tax Preparers,detailed
13,2099,"Financial Specialists, All Other",detailed
15,1111,Computer and Information Research Scientists,detailed
15,1121,Computer Systems Analysts,detailed
15,1122,Information Security Analysts,detailed
15,1131,Computer Programmers,detailed
15,1132,"Software Developers, Applications",detailed
15,1133,"Software Developers, Systems Software",detailed
15,1134,Web Developers,detailed
15,1141,Database Administrators,detailed
15,1142,Network and Computer Systems Administrators,detailed
15,1143,Computer Network Architects,detailed
15,1151,Computer User Support Specialists,detailed
15,1152,Computer Network Support Specialists,detailed
15,1199,"Computer Occupations, All Other",detailed
15,2011,Actuaries,detailed
15,2031,Operations Research Analysts,detailed
15,2041,Statisticians,detailed
17,1011,"Architects, Except Landscape and Naval",detailed
17,1012,Landscape Architects,detailed
17,1021,Cartographers and Photogrammetrists,detailed
17,1022,Surveyors,detailed
17,2011,Aerospace Engineers,detailed
17,2031,Biomedical Engineers,detailed
17,2041,Chemical Engineers,detailed
17,2051,Civil Engineers,detailed
17,2061,Computer Hardware Engineers,detailed
17,2071,Electrical Engineers,detailed
